,road_id,lane_id,loc,is_junction
0,355,-1,"[144.990234375, 59.493350982666016, 0.0]",True
1,355,-1,"[145.990234375, 59.493228912353516, 0.0]",True
2,355,-1,"[146.990234375, 59.493106842041016, 0.0]",True
3,355,-1,"[147.990234375, 59.492984771728516, 0.0]",True
4,355,-1,"[148.990234375, 59.492862701416016, 0.0]",True
5,355,-1,"[149.990234375, 59.492740631103516, 0.0]",True
6,355,-1,"[150.990234375, 59.492618560791016, 0.0]",True
7,355,-1,"[151.990234375, 59.492496490478516, 0.0]",True
8,355,-1,"[152.990234375, 59.492374420166016, 0.0]",True
9,355,-1,"[153.990234375, 59.49225616455078, 0.0]",True
10,355,-1,"[154.990234375, 59.49213409423828, 0.0]",True
11,355,-1,"[155.990234375, 59.49201202392578, 0.0]",True
12,355,-1,"[156.990234375, 59.49188995361328, 0.0]",True
13,355,-1,"[157.990234375, 59.49176788330078, 0.0]",True
14,355,-1,"[158.990234375, 59.49164581298828, 0.0]",True
15,355,-1,"[159.990234375, 59.49152374267578, 0.0]",True
16,355,-1,"[160.990234375, 59.49140167236328, 0.0]",True
17,355,-1,"[161.990234375, 59.49127960205078, 0.0]",True
18,355,-1,"[162.990234375, 59.49115753173828, 0.0]",True
19,355,-1,"[163.990234375, 59.49103546142578, 0.0]",True
20,355,-1,"[164.990234375, 59.49091339111328, 0.0]",True
21,355,-1,"[165.990234375, 59.49079132080078, 0.0]",True
22,355,-1,"[166.990234375, 59.49066925048828, 0.0]",True
23,354,1,"[144.98974609375, 55.493350982666016, 0.0]",True
24,354,1,"[145.98974609375, 55.493228912353516, 0.0]",True
25,354,1,"[146.98974609375, 55.493106842041016, 0.0]",True
26,354,1,"[147.98974609375, 55.492984771728516, 0.0]",True
27,354,1,"[148.98974609375, 55.492862701416016, 0.0]",True
28,354,1,"[149.98974609375, 55.492740631103516, 0.0]",True
29,354,1,"[150.98974609375, 55.492618560791016, 0.0]",True
30,354,1,"[151.98974609375, 55.492496490478516, 0.0]",True
31,354,1,"[152.98974609375, 55.492374420166016, 0.0]",True
32,354,1,"[153.98974609375, 55.49225616455078, 0.0]",True
